ruleScore,lstmProb,gnnProb,autoMSE,geoSpeed,clusterSize,label
9.75,0.89,0.84,4.09,898.74,3,1
9.85,0.93,0.68,4.27,1317.21,15,1
7.62,0.76,0.62,9.82,954.03,15,1
2.96,0.02,0.24,0.51,26.02,2,0
2.82,0.15,0.01,0.69,96.41,2,0
7.48,0.61,0.96,4.81,249.37,13,1
0.16,0.34,0.18,1.19,370.66,1,0
0.44,0.08,0.02,0.98,155.47,2,0
2.93,0.39,0.24,0.83,118.51,1,0
9.93,0.91,0.68,3.04,565.49,4,1
4.63,0.26,0.37,2.55,179.78,1,0
6.55,0.73,0.89,7.46,377.77,17,1
3.61,0.09,0.1,0.12,284.27,2,0
5.54,0.61,0.85,5.2,2342.86,16,1
1.02,0.38,0.24,2.08,352.19,2,0
3.17,0.35,0.32,0.56,357.02,1,0
5.61,0.74,0.96,4.9,0.42,6,1
7.55,0.77,0.69,3.84,2402.95,19,1
2.02,0.03,0.1,0.74,278.52,1,0
6.42,0.61,0.84,6.52,1273.7,3,1
2.65,0.18,0.22,1.78,32.34,2,0
8.64,0.75,0.85,7.43,953.49,3,1
5.2,0.84,0.87,3.12,1185.04,7,1
1.99,0.21,0.34,2.03,294.09,2,0
4.39,0.1,0.26,2.45,222.08,2,0
9.98,0.99,0.82,9.18,1274.08,19,1
4.44,0.31,0.26,0.25,64.65,2,0
2.9,0.15,0.38,2.92,113.57,2,0
3.46,0.26,0.09,2.14,94.9,1,0
6.83,0.9,0.89,5.16,1664.98,9,1
9.87,0.76,0.96,7.42,402.11,19,1
1.15,0.2,0.23,2.31,17.44,2,0
4.77,0.37,0.15,0.05,371.33,1,0
2.86,0.39,0.03,0.92,76.36,1,0
5.85,0.82,0.97,7.87,965.2,9,1
6.27,0.72,0.73,8.94,2005.15,13,1
4.05,0.35,0.37,1.53,200.61,1,0
5.35,0.76,0.62,9.21,1784.07,18,1
7.33,0.82,0.71,7.14,863.49,2,1
1.63,0.33,0.11,2.9,182.91,2,0
7.66,0.82,0.85,8.08,413.04,4,1
7.17,0.9,0.7,4.29,1528.13,4,1
5.78,0.7,0.82,8.0,223.95,3,1
2.18,0.29,0.02,1.7,63.46,2,0
5.58,0.62,0.62,8.99,379.34,19,1
1.73,0.19,0.26,0.14,379.66,2,0
6.87,0.85,0.8,9.0,130.35,10,1
4.34,0.25,0.32,2.03,229.35,1,0
2.73,0.38,0.15,2.88,362.14,2,0
6.07,0.75,0.62,7.33,1914.73,13,1
9.07,0.71,0.65,7.88,701.98,8,1
2.74,0.17,0.23,1.73,292.66,2,0
8.88,0.74,0.97,9.01,2076.48,12,1
7.67,0.8,0.76,5.08,890.93,3,1
6.6,0.98,0.98,7.01,358.76,12,1
1.06,0.38,0.31,0.34,372.37,2,0
7.75,0.78,0.96,5.46,1043.09,15,1
4.19,0.17,0.09,1.19,356.76,2,0
5.42,0.99,0.75,5.59,757.8,2,1
2.41,0.15,0.28,0.75,132.1,2,0
0.06,0.19,0.02,0.36,47.01,1,0
3.41,0.1,0.16,1.43,33.16,1,0
9.82,0.6,0.99,3.3,422.16,1,1
8.48,0.63,0.67,4.52,2492.91,6,1
0.23,0.11,0.38,2.67,182.26,2,0
5.85,0.86,0.76,4.61,1412.59,14,1
2.68,0.12,0.33,2.05,65.05,2,0
9.7,0.77,0.83,9.43,2290.32,8,1
6.88,0.92,0.99,4.05,1447.51,3,1
0.32,0.01,0.05,0.04,30.14,2,0
5.0,0.4,0.22,2.31,377.91,2,0
6.21,0.68,0.7,4.92,2292.98,5,1
5.57,0.87,0.81,8.41,2248.71,8,1
8.96,0.84,0.79,5.94,511.49,3,1
5.07,0.74,0.84,5.75,2337.07,9,1
4.55,0.12,0.21,2.09,318.59,2,0
2.46,0.1,0.18,2.94,197.05,1,0
7.9,0.74,0.81,6.22,1480.51,7,1
6.73,0.96,0.79,7.67,1126.89,8,1
6.74,0.61,0.82,6.74,2320.17,13,1
0.2,0.32,0.25,0.25,349.43,1,0
5.01,0.95,0.63,7.18,429.27,2,1
1.84,0.19,0.3,0.11,100.97,1,0
4.22,0.3,0.01,2.6,141.66,1,0
6.35,0.75,0.61,5.25,1356.75,4,1
7.37,0.74,0.86,6.36,2052.6,11,1
5.64,0.71,0.75,7.52,1405.36,1,1
0.04,0.09,0.15,1.46,340.33,2,0
5.87,0.96,0.63,6.67,2470.04,5,1
4.59,0.0,0.39,1.47,289.16,2,0
2.78,0.23,0.11,2.31,74.82,2,0
1.0,0.29,0.21,2.12,307.11,2,0
0.77,0.19,0.21,0.16,134.64,2,0
2.74,0.08,0.27,0.26,55.53,1,0
2.98,0.19,0.16,1.05,371.81,2,0
2.04,0.37,0.4,0.62,151.69,1,0
2.87,0.34,0.06,2.39,80.65,2,0
0.93,0.09,0.25,2.72,126.48,2,0
9.08,0.78,0.75,6.24,2070.94,12,1
6.96,0.81,0.63,4.6,1533.6,6,1
5.7,0.92,0.85,6.73,630.88,4,1
3.89,0.06,0.08,2.14,197.59,2,0
9.11,0.64,0.94,3.89,2155.4,18,1
8.86,0.6,0.84,6.96,479.22,2,1
2.92,0.16,0.18,2.84,61.34,1,0
5.5,0.7,0.89,7.15,2361.88,8,1
0.76,0.23,0.24,1.27,294.58,2,0
