source,target,type
synthetic_fraud_0_0,synthetic_fraud_0_1,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_2,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_3,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_4,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_5,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_0,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_2,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_3,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_4,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_5,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_1,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_2,synthetic_fraud_0_3,synthetic
synthetic_fraud_0_2,synthetic_fraud_0_4,synthetic
synthetic_fraud_0_2,synthetic_fraud_0_5,synthetic
synthetic_fraud_0_2,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_2,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_3,synthetic_fraud_0_4,synthetic
synthetic_fraud_0_3,synthetic_fraud_0_5,synthetic
synthetic_fraud_0_3,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_3,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_4,synthetic_fraud_0_5,synthetic
synthetic_fraud_0_4,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_4,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_5,synthetic_fraud_0_6,synthetic
synthetic_fraud_0_5,synthetic_fraud_0_7,synthetic
synthetic_fraud_0_6,synthetic_fraud_0_7,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_1,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_2,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_3,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_4,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_5,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_0,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_2,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_3,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_4,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_5,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_1,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_2,synthetic_fraud_1_3,synthetic
synthetic_fraud_1_2,synthetic_fraud_1_4,synthetic
synthetic_fraud_1_2,synthetic_fraud_1_5,synthetic
synthetic_fraud_1_2,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_2,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_3,synthetic_fraud_1_4,synthetic
synthetic_fraud_1_3,synthetic_fraud_1_5,synthetic
synthetic_fraud_1_3,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_3,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_4,synthetic_fraud_1_5,synthetic
