id,isBlocked,f1,f2
synthetic_fraud_0_0,1,1,1
synthetic_fraud_0_1,1,1,1
synthetic_fraud_0_2,1,1,1
synthetic_fraud_0_3,1,1,1
synthetic_fraud_0_4,1,1,1
synthetic_fraud_0_5,1,1,1
synthetic_fraud_0_6,1,1,1
synthetic_fraud_0_7,1,1,1
synthetic_fraud_1_0,1,1,1
synthetic_fraud_1_1,1,1,1
synthetic_fraud_1_2,1,1,1
synthetic_fraud_1_3,1,1,1
synthetic_fraud_1_4,1,1,1
synthetic_fraud_1_5,1,1,1
synthetic_fraud_1_6,1,1,1
synthetic_fraud_1_7,1,1,1
synthetic_fraud_2_0,1,1,1
synthetic_fraud_2_1,1,1,1
synthetic_fraud_2_2,1,1,1
synthetic_fraud_2_3,1,1,1
synthetic_fraud_2_4,1,1,1
synthetic_fraud_2_5,1,1,1
synthetic_fraud_2_6,1,1,1
synthetic_fraud_2_7,1,1,1
synthetic_fraud_3_0,1,1,1
synthetic_fraud_3_1,1,1,1
synthetic_fraud_3_2,1,1,1
synthetic_fraud_3_3,1,1,1
synthetic_fraud_3_4,1,1,1
synthetic_fraud_3_5,1,1,1
synthetic_fraud_3_6,1,1,1
synthetic_fraud_3_7,1,1,1
synthetic_fraud_4_0,1,1,1
synthetic_fraud_4_1,1,1,1
synthetic_fraud_4_2,1,1,1
synthetic_fraud_4_3,1,1,1
synthetic_fraud_4_4,1,1,1
synthetic_fraud_4_5,1,1,1
synthetic_fraud_4_6,1,1,1
synthetic_fraud_4_7,1,1,1
