amount,items,hour,day
2003.9316104268287,2,10,4
1237.2207177519297,5,9,1
947.2947703174701,5,13,1
1733.5216451938845,1,9,5
1962.66781818057,5,11,3
2465.565370965812,3,15,5
2476.483726794721,4,15,2
2034.911012706208,3,15,1
1508.3275226585283,4,11,2
1311.7609309938289,3,15,1
1445.5234904749132,4,10,4
1207.3883467920084,5,15,1
1778.8026644427584,5,14,2
2327.845250059182,5,20,5
1941.2211752838248,5,19,5
874.6981778496256,3,16,3
2349.6279685862664,2,16,5
1326.6110998653676,5,13,3
562.507360108003,1,14,2
1636.9642454257355,4,9,3
2406.9260292265044,4,17,3
1995.9775504485365,1,9,4
646.9375409361588,5,17,2
2280.220560893432,5,12,2
1243.6509957940725,2,12,1
2004.665039796007,1,19,2
1370.1268906409678,4,12,1
2011.5346149093843,2,15,1
923.3692898528018,5,19,3
2012.6255438961446,1,12,2
664.718165337149,5,11,3
1999.1769852857105,1,12,2
1930.3621654011822,1,10,2
1503.5333284964051,4,12,2
2469.8240659353796,3,11,1
1060.525039881008,3,11,1
2245.609985032762,3,18,3
790.5622728610892,5,14,1
1962.805968304822,4,16,3
1875.129836376262,5,19,2
2417.636501350881,2,9,1
1099.37131111777,2,14,4
2272.4435658901325,5,11,5
1547.128989263638,3,15,4
1550.6083369947135,2,18,1
2395.0167044685077,5,12,5
1449.4554824239249,2,19,5
2175.9466681083345,4,12,1
2265.6997816896264,1,9,2
1705.2284906988166,5,10,3
1941.1754142252935,3,17,5
2263.089582992584,4,20,3
1117.898649673872,1,10,4
1599.4065835993542,1,10,3
1462.725617498622,4,19,1
1198.501038655999,4,16,1
1288.1946390264934,5,17,2
2157.744884491962,5,14,5
1181.8477790077186,2,18,4
1648.2898150321353,5,17,2
1023.2309441154194,3,18,3
1194.9241392147983,1,18,2
1766.0031904912078,1,13,1
1616.9929312967543,5,13,2
1389.429871408995,4,10,1
2051.6697918150203,3,13,5
2149.9193806751,1,19,3
1971.988905685539,5,18,4
2470.875492948442,1,9,5
2243.019632605129,3,19,4
2296.148192307627,4,19,3
1564.7900073881726,4,16,4
1479.555872556014,1,15,4
1268.965046623888,3,16,3
1021.6673955622526,4,14,1
1814.6650620430185,4,13,4
1130.1387740235139,3,15,2
698.3966383788958,1,13,3
1170.7231258794882,5,18,5
1325.4893539437016,4,18,3
1321.6352852692307,4,12,4
541.3224474304279,1,15,5
1011.6956723803612,5,11,3
1059.9031358450577,4,10,1
697.2510844254826,2,13,4
848.6420917234492,4,20,2
1098.5797674467053,1,14,4
1191.3217563590747,3,19,4
604.7945997437666,1,13,4
2171.593217861626,5,19,2
2230.43595276092,1,17,1
1358.965149449145,3,14,2
2220.573883692759,2,12,4
781.7603999798695,1,16,5
1357.302205805302,4,15,4
1283.2599528281037,4,20,1
1130.0620415147037,3,15,5
1252.2359154152505,4,16,3
1802.6788929752322,2,20,3
1898.9830498725228,1,18,2
552.8970977091853,4,19,3
2274.943479959339,4,15,3
2400.8603371217464,4,17,1
714.730192102266,4,10,1
1578.6809294421885,4,13,5
1110.0189105727147,2,17,2
1962.3239904794816,3,16,3
1900.2626954661891,5,13,4
695.5649580624246,3,15,4
1519.8449711509827,2,12,3
2437.3321172022456,2,19,5
1989.8830794024284,2,14,1
656.4246250090494,5,14,5
2312.6559970881062,3,10,3
823.1276163307859,5,17,1
774.7761501008292,4,11,4
783.3723512884619,3,20,4
1388.4261113007485,2,10,3
1538.4326519110946,1,14,3
2342.6389651748477,2,14,5
580.7858737659548,1,13,2
1309.4185021255757,2,17,1
1484.0874194320284,5,11,1
2484.2481126188477,1,19,3
1076.4467266412726,4,12,5
1273.6057745332637,2,13,2
2217.6573216471884,4,12,2
1667.3568627438033,3,10,4
1603.6708734685776,4,12,3
696.1901639463281,2,17,3
2435.094298106149,5,11,4
1631.078987315072,4,11,2
1163.3554003985482,4,15,4
2403.5317187977553,1,15,4
839.9753859842884,5,17,4
1892.7297266132114,4,14,3
2008.2509842034674,1,12,2
2189.4940897879032,1,20,5
887.4762284653866,3,9,5
1290.6483452611628,3,16,2
2048.065471252761,2,10,5
1000.7483337808143,5,13,4
1182.814720241778,1,13,4
1715.4414775603232,5,16,4
1035.2991258472211,3,19,3
2013.689360752745,3,12,2
1204.3903596748228,4,13,3
1619.094248418194,2,15,2
1979.3653663387336,1,13,5
907.1373280893522,3,9,2
2320.883920467594,4,10,4
1639.241984393141,2,16,3
1783.2530898978064,2,12,1
1874.6433095089988,1,20,3
1577.4459749061464,4,10,5
1678.5846788797612,1,19,4
2321.675460214098,4,15,5
797.324979114407,3,17,5
1872.6613423157964,4,13,2
1051.1670734422478,5,16,5
743.2463951529874,5,9,2
875.4485551298843,1,11,1
2461.2624347059254,1,13,4
2062.029851328499,3,12,1
1255.3353419186587,1,20,1
530.060037984367,3,18,2
1198.0330620817344,5,15,2
1035.394328831684,2,17,4
1342.5799549614258,4,12,2
1813.0611607025705,3,18,2
1520.3839396468873,2,15,2
1161.405548004541,2,19,4
